GRIDCODE,CID,Fracc,Fracv
409371,19004,0.119378219,0.039195372
409371,19004,0.003143288,0.001032034
409371,19009,0.001090936,0.000541759
409371,19009,0.000405125,0.000201185
409372,19004,0.149038879,0.048933837
409373,19004,0.079707529,0.02617032
409373,19004,7.07893E-05,2.32422E-05
409373,19038,0.004985543,0.001581708
409373,19038,0.002163399,0.000686358
409374,19038,0.00060905,0.000193226
409374,19038,0.014774458,0.004687329
409375,19038,0.002516359,0.000798338
409375,19038,0.003421951,0.001085645
409376,19009,0.000680579,0.000337975
409376,19038,0.014201179,0.004505451
409377,19009,0.004007539,0.001990143
409377,19038,0.004190015,0.00132932
409378,19022,0.001593752,0.00034182
409378,19022,0.003230109,0.000692777
409378,19038,0.0002361,7.49048E-05
409378,19038,0.000527637,0.000167397
409379,19022,0.002274462,0.000487815
409379,19022,0.003619473,0.000776285
409380,19022,0.000419974,9.00737E-05
409380,19022,0.010086332,0.002163263
409381,19022,0.015059838,0.003229955
409381,19022,0.002015506,0.000432275
409382,19022,0.013309681,0.00285459
409383,19022,0.003196464,0.000685561
409383,19022,0.008594941,0.001843398
410393,5030,0.00564102,0.000628493
410394,5030,0.008201638,0.000913783
410395,5030,0.014700812,0.001637887
410396,5030,0.002770449,0.000308669
410402,5004,0.002619944,0.000625645
410402,5030,0.000167146,1.86225E-05
410407,5004,0.000611808,0.0001461
410408,5004,0.000501499,0.000119758
410408,5004,8.96456E-05,2.14074E-05
410408,5004,0.002369752,0.000565899
410409,5004,0.008940033,0.002134889
410409,5004,0.012078013,0.002884241
410410,5004,0.004333091,0.001034746
410410,5004,0.004548884,0.001086278
410411,5004,0.000368187,8.79233E-05
410412,5004,0.004190072,0.001000593
410414,5004,0.002415342,0.000576786
410414,19049,4.64917E-06,4.53495E-07
410415,5004,0.000168783,4.03055E-05
410415,19049,0.063494175,0.00619342
410416,19049,0.053925848,0.005260096
410417,19049,0.03172797,0.003094845
410418,19049,0.002930191,0.00028582
410425,19049,0.023244805,0.002267371
410426,19049,0.034546615,0.003369785
410426,19049,0.001944453,0.000189668
410427,19049,0.009957161,0.000971253
410429,19009,0.006205879,0.003081838
410430,19004,0.000771902,0.000253438
410430,19004,0.001892465,0.000621352
410430,19009,0.003228,0.001603024
410430,19009,0.011099423,0.005511972
410431,19004,0.033770909,0.01108798
410431,19004,0.003834636,0.001259024
410431,19009,0.002300556,0.001142456
410431,19009,0.009801385,0.004867366
410432,19004,0.03314971,0.010884023
410432,19004,0.006681712,0.002193802
410432,19009,7.27134E-05,3.61094E-05
410432,19009,0.000402156,0.000199711
410432,19009,0.003844676,0.001909265
410432,19038,0.001154679,0.000366332
410432,19038,5.7864E-05,1.83579E-05
410432,19038,0.005954256,0.001889041
410433,19038,0.000979373,0.000310715
410433,19038,0.014404135,0.004569841
410434,19009,0.001147283,0.000569741
410434,19038,0.006030519,0.001913236
410434,19038,0.001704375,0.000540728
410435,19009,0.013094669,0.00650281
410435,19038,0.002932823,0.000930464
410436,19009,0.016144567,0.008017389
410436,19038,3.1866E-05,1.01098E-05
410437,19009,0.002475261,0.001229214
410437,19022,0.000258569,5.54566E-05
410437,19022,0.007056015,0.001513337
410437,19038,0.000476224,0.000151086
410437,19038,4.76947E-05,1.51316E-05
410438,19022,0.000292444,6.27219E-05
410438,19022,0.010419022,0.002234617
410439,19022,0.013048094,0.002798486
410440,19022,0.017186396,0.003686048
410441,19022,0.016756706,0.00359389
410442,19022,0.014663091,0.003144862
410442,19022,0.000802515,0.000172119
411452,5030,0.003805124,0.000423947
411453,5030,0.005076804,0.000565631
411454,5030,1.73787E-05,1.93625E-06
411454,5030,0.008199388,0.000913533
411455,5030,0.000516872,5.75872E-05
411456,5030,0.000322367,3.59165E-05
411457,5030,0.000297619,3.31592E-05
411467,5004,0.006345036,0.001515201
